method,data-name,model-accuracy,surrogte-accuracy,Validity,Proximity,Sparsity,Plausibility,runtime
"MASCOTS, $\lambda=0.1$",Epilepsy,0.30,0.96,0.16,0.37,0.87,0.95,00:29:25
"MASCOTS, $\lambda=0.1$",Cricket,0.24,0.77,0.30,0.29,0.91,1.00,00:51:01
"MASCOTS, $\lambda=0.1$",TwoLeadECG,1.00,0.43,0.60,0.23,0.78,1.00,00:11:41
"MASCOTS, $\lambda=0.1$",RacketSports,0.37,0.56,0.16,0.57,0.85,1.00,00:21:51
"MASCOTS, $\lambda=0.1$",NATOPS,,,,,,,00:53:06
"MASCOTS, $\lambda=0.1$",ItalyPowerDemand,0.97,0.51,0.46,0.59,0.50,1.00,00:06:35
"MASCOTS, $\lambda=0.1$",GunPoint,1.00,1.00,0.54,0.26,0.69,1.00,00:17:12
"MASCOTS, $\lambda=0.1$",Earthquakes,0.68,0.82,0.14,0.18,0.70,0.97,00:15:40
"MASCOTS, $\lambda=0.1$",ERing,,,,,,,00:12:37
"MASCOTS, $\lambda=0.1$",Wine,0.46,0.51,0.32,0.05,0.88,1.00,00:06:38
"MASCOTS, $\lambda=0.1$",BasicMotions,0.50,1.00,0.00,0.11,0.93,1.00,00:28:18
"MASCOTS, $\lambda=0.1$",Coffee,1.00,0.93,0.61,0.19,0.76,0.93,00:04:35
"MASCOTS, $\lambda=0.1$",ArticularyWordRecognition,,,,,,,00:50:45
"MASCOTS, $\lambda=0.0$",Cricket,0.24,,0.40,0.62,0.89,0.96,00:52:57
"MASCOTS, $\lambda=0.0$",Wine,0.46,,0.18,0.05,0.88,1.00,00:11:14
"MASCOTS, $\lambda=0.0$",ERing,,,,,,,00:12:14
"MASCOTS, $\lambda=0.0$",Coffee,1.00,,0.50,0.63,0.54,0.25,00:08:20
"MASCOTS, $\lambda=0.0$",ItalyPowerDemand,0.97,,0.54,0.64,0.46,1.00,00:08:50
"MASCOTS, $\lambda=0.0$",Earthquakes,0.68,,0.16,0.16,0.74,0.97,00:23:17
"MASCOTS, $\lambda=0.0$",TwoLeadECG,1.00,,0.66,0.44,0.61,0.85,00:07:50
"MASCOTS, $\lambda=0.0$",NATOPS,,,,,,,00:58:27
"MASCOTS, $\lambda=0.0$",Epilepsy,0.30,,0.16,0.39,0.86,0.97,00:49:02
"MASCOTS, $\lambda=0.0$",ArticularyWordRecognition,,,,,,,00:52:33
"MASCOTS, $\lambda=0.0$",BasicMotions,0.50,,0.00,0.34,0.88,0.95,00:49:13
"MASCOTS, $\lambda=0.0$",RacketSports,0.37,,0.18,0.55,0.86,0.96,00:44:34
"MASCOTS, $\lambda=0.0$",GunPoint,1.00,,0.62,0.22,0.71,1.00,00:09:30
M-CELS,Cricket,0.24,,0.16,1.09,0.50,1.00,01:12:30
M-CELS,RacketSports,0.37,,0.18,0.86,0.50,1.00,00:45:39
M-CELS,BasicMotions,0.50,,0.00,1.22,0.50,1.00,00:39:18
M-CELS,Wine,0.46,,0.02,0.00,0.50,1.00,00:53:58
M-CELS,TwoLeadECG,1.00,,0.26,0.05,0.50,1.00,01:10:45
M-CELS,ArticularyWordRecognition,,,,,,,00:52:22
M-CELS,NATOPS,,,,,,,00:46:10
M-CELS,ItalyPowerDemand,0.97,,0.04,0.07,0.49,1.00,00:44:51
M-CELS,GunPoint,1.00,,0.12,0.06,0.50,1.00,01:08:52
M-CELS,Epilepsy,0.30,,0.16,0.68,0.50,1.00,00:52:18
M-CELS,Coffee,1.00,,0.18,0.02,0.49,0.96,00:31:21
M-CELS,Earthquakes,0.68,,0.10,0.28,0.50,1.00,01:28:53
M-CELS,ERing,,,,,,,00:46:54
Glacier,Coffee,1.00,,0.36,0.39,0.00,1.00,00:13:54
Glacier,GunPoint,0.80,,0.42,2.95,0.00,1.00,00:24:52
Glacier,TwoLeadECG,0.73,,0.64,1.24,0.00,1.00,00:26:27
Glacier,Wine,0.80,,0.68,0.09,0.00,1.00,00:40:19
Glacier,Earthquakes,0.75,,0.04,6.42,0.00,1.00,00:23:29
Glacier,ItalyPowerDemand,0.96,,0.38,2.85,0.00,1.00,00:25:49
